,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,udachnyy,66.42,112.4,282.15,100,90,5,RU,1595706679
94,atuona,-9.8,-139.03,299.69,73,1,8.93,PF,1595706679
95,jacarau,-6.61,-35.29,296.25,79,99,5.61,BR,1595706679
96,esperance,-33.87,121.9,287.15,54,90,6.7,AU,1595706679
97,hilo,19.73,-155.09,301.15,65,90,3.1,US,1595706680
98,carnarvon,-24.87,113.63,286.15,87,0,3.6,AU,1595706680
99,bako,5.78,36.57,290,81,98,0.89,ET,1595706540
100,manono,-7.3,27.42,295.9,29,0,2.91,CD,1595706680
101,mar del plata,-38,-57.56,285.37,50,63,5.1,AR,1595706680
102,hofn,64.25,-15.21,283.8,81,100,6.46,IS,1595706422
103,yaan,7.38,8.57,296.63,92,100,2.48,NG,1595706681
104,tuktoyaktuk,69.45,-133.04,283.15,87,90,5.7,CA,1595706681
105,janow lubelski,50.71,22.41,295.15,60,100,2.6,PL,1595706681
106,margate,51.38,1.39,290.93,99,100,0.89,GB,1595706681
107,ellsworth,44.54,-68.42,302.59,54,1,4.6,US,1595706681
108,half moon bay,37.46,-122.43,296.48,68,5,4.1,US,1595706513
109,gat,31.61,34.76,300.93,61,0,2.5,IL,1595706662
110,urusha,54.05,122.9,289.42,96,100,1.01,RU,1595706682
111,luderitz,-26.65,15.16,295.15,28,0,3.1,NA,1595706682
112,malinovoye ozero,51.68,79.78,294.58,56,64,5.61,RU,1595706682
113,salalah,17.02,54.09,300.15,88,75,3.6,OM,1595706682
114,tsihombe,,,,,,,,
115,saint-philippe,-21.36,55.77,293.15,56,90,10.8,RE,1595706682
116,nishihara,26.18,127.76,301.15,94,90,2.6,JP,1595706682
117,wasco,35.59,-119.34,305.93,25,1,2.79,US,1595706683
118,mersing,2.43,103.84,297.15,94,0,3.1,MY,1595706683
119,qaanaaq,77.48,-69.36,280.51,59,0,0.75,GL,1595706683
120,muisne,0.6,-80.03,299.15,83,75,4.1,EC,1595706683
121,rovaniemi,66.5,25.72,289.15,63,100,3.6,FI,1595706683
122,nouadhibou,20.93,-17.03,295.15,88,40,9.3,MR,1595706683
123,ouallam,14.32,2.09,308.48,33,3,2.74,NE,1595706684
124,bell ville,-32.63,-62.69,290.37,23,98,1.79,AR,1595706684
125,riyadh,24.69,46.72,310.15,22,0,3.6,SA,1595706452
126,dekar,-21.53,21.93,284.87,45,0,3.2,BW,1595706684
127,anuradhapura,8.36,80.42,299.39,80,100,5.35,LK,1595706684
128,sivaki,52.63,126.75,291.85,99,100,2.35,RU,1595706684
129,digby,44.62,-65.77,298.15,71,4,4.47,CA,1595706685
130,tura,25.52,90.22,297.63,85,100,1.39,IN,1595706685
131,pangnirtung,66.15,-65.71,284.15,81,75,4.1,CA,1595706685
132,portland,45.52,-122.68,296.48,59,20,2.6,US,1595706396
133,evensk,61.95,159.23,286.9,79,0,2.2,RU,1595706685
134,grindavik,63.84,-22.43,283.15,81,75,11.3,IS,1595706685
135,narsaq,60.92,-46.05,283.15,81,75,4.1,GL,1595706685
136,chokurdakh,70.63,147.92,297.13,45,100,2.62,RU,1595706685
137,khatanga,71.97,102.5,277.75,86,100,5.09,RU,1595706686
138,cafarnaum,-11.69,-41.47,296.01,48,0,4.93,BR,1595706686
139,puerto ayora,-0.74,-90.35,298.15,65,75,9.8,EC,1595706618
140,amalapuram,16.58,82.02,299.74,85,0,1.16,IN,1595706686
141,aswan,24.09,32.91,308.13,15,0,5.24,EG,1595706686
142,rawannawi,,,,,,,,
143,torbay,47.67,-52.73,295.93,73,40,4.1,CA,1595706686
144,duliagaon,27.37,95.32,297.69,95,68,0.73,IN,1595706686
145,basco,20.45,121.97,302.56,79,100,4.54,PH,1595706688
146,ilulissat,69.22,-51.1,282.15,87,75,4.6,GL,1595706688
147,saleaula,,,,,,,,
148,nikolskoye,59.7,30.79,288.71,93,75,2.01,RU,1595706688
149,militello in val di catania,37.27,14.79,299.82,83,5,2.6,IT,1595706688
150,ukiah,39.15,-123.21,307.04,30,1,2.1,US,1595706688
151,tiarei,-17.53,-149.33,299.15,69,20,2.1,PF,1595706689
152,bodden town,19.28,-81.25,304.15,74,40,5.1,KY,1595706689
153,adrar,20.5,-10.07,312.36,7,0,2.47,MR,1595706689
154,hambantota,6.12,81.12,300.22,78,97,8.89,LK,1595706689
155,kruisfontein,-34,24.73,289.18,47,0,4.46,ZA,1595706690
156,kolpashevo,58.31,82.91,284.82,90,26,2.33,RU,1595706690
157,tuatapere,-46.13,167.68,281.05,83,100,2.51,NZ,1595706690
158,sentyabrskiy,,,,,,,,
159,kurumkan,54.3,110.3,289.36,56,100,1.22,RU,1595706690
160,lufilufi,-13.87,-171.6,300.84,73,5,9.93,WS,1595706691
161,naftah,,,,,,,,
162,samusu,,,,,,,,
163,iqaluit,63.75,-68.51,281.15,87,75,1,CA,1595706691
164,katsuura,35.13,140.3,299.15,94,75,4.1,JP,1595706691
165,san pedro,14.35,121.02,299.15,78,100,3.1,PH,1595706691
166,armacao dos buzios,,,,,,,,
167,alice springs,-23.7,133.88,276.15,69,0,2.1,AU,1595706497
168,husavik,66.04,-17.34,282.15,81,90,7.2,IS,1595706691
169,geraldton,-28.77,114.6,284.15,87,0,5.7,AU,1595706691
170,saint johnsbury,44.42,-72.02,302.15,32,100,2.63,US,1595706683
171,la rioja,42.25,-2.5,303.15,40,0,2.6,ES,1595706692
